"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","01.01.2015 00:00 - 01.01.2015 01:00 (CET)","68","0","0","2536","435","0","n/e","n/e","n/e","335","","36","0","n/e","2875","589","0","0","267","507","177"
"Belgium (BE)","01.01.2015 01:00 - 01.01.2015 02:00 (CET)","69","0","0","2509","434","0","n/e","n/e","n/e","153","0","36","0","n/e","2875","666","0","0","269","491","205"
"Belgium (BE)","01.01.2015 02:00 - 01.01.2015 03:00 (CET)","69","0","0","2463","435","0","n/e","n/e","n/e","","7","36","0","n/e","2874","662","0","0","271","519","216"
"Belgium (BE)","01.01.2015 03:00 - 01.01.2015 04:00 (CET)","68","0","0","2243","436","0","n/e","n/e","n/e","","9","36","0","n/e","2873","635","0","0","266","529","237"
"Belgium (BE)","01.01.2015 04:00 - 01.01.2015 05:00 (CET)","67","0","0","2134","436","0","n/e","n/e","n/e","","413","37","0","n/e","2874","597","0","0","268","407","326"
"Belgium (BE)","01.01.2015 05:00 - 01.01.2015 06:00 (CET)","68","0","0","2166","436","0","n/e","n/e","n/e","","537","37","0","n/e","2873","597","0","0","269","413","318"
"Belgium (BE)","01.01.2015 06:00 - 01.01.2015 07:00 (CET)","70","0","0","2034","434","0","n/e","n/e","n/e","","533","37","0","n/e","2874","610","0","0","264","550","271"
"Belgium (BE)","01.01.2015 07:00 - 01.01.2015 08:00 (CET)","69","0","0","1990","436","0","n/e","n/e","n/e","","517","36","0","n/e","2874","612","0","0","263","616","324"
"Belgium (BE)","01.01.2015 08:00 - 01.01.2015 09:00 (CET)","68","0","0","1949","415","0","n/e","n/e","n/e","","9","36","0","n/e","2874","606","0","0","267","628","460"
"Belgium (BE)","01.01.2015 09:00 - 01.01.2015 10:00 (CET)","77","0","0","1845","331","0","n/e","n/e","n/e","","9","37","0","n/e","2873","591","0","93","263","645","502"
"Belgium (BE)","01.01.2015 10:00 - 01.01.2015 11:00 (CET)","85","0","0","1872","253","0","n/e","n/e","n/e","","9","37","0","n/e","2874","572","0","375","267","656","479"
"Belgium (BE)","01.01.2015 11:00 - 01.01.2015 12:00 (CET)","86","0","0","1916","219","0","n/e","n/e","n/e","","9","38","0","n/e","2874","574","0","740","269","633","433"
"Belgium (BE)","01.01.2015 12:00 - 01.01.2015 13:00 (CET)","81","0","0","2001","159","0","n/e","n/e","n/e","","42","41","0","n/e","2874","572","0","938","268","606","415"
"Belgium (BE)","01.01.2015 13:00 - 01.01.2015 14:00 (CET)","91","0","0","2061","143","0","n/e","n/e","n/e","","47","43","0","n/e","2874","552","0","849","259","606","491"
"Belgium (BE)","01.01.2015 14:00 - 01.01.2015 15:00 (CET)","104","0","0","1991","221","0","n/e","n/e","n/e","","9","43","0","n/e","2874","557","0","537","267","584","514"
"Belgium (BE)","01.01.2015 15:00 - 01.01.2015 16:00 (CET)","105","0","0","1990","390","0","n/e","n/e","n/e","","9","43","0","n/e","2874","565","0","257","268","579","509"
"Belgium (BE)","01.01.2015 16:00 - 01.01.2015 17:00 (CET)","115","0","0","1972","440","0","n/e","n/e","n/e","","9","42","0","n/e","2874","582","0","41","268","627","571"
"Belgium (BE)","01.01.2015 17:00 - 01.01.2015 18:00 (CET)","123","0","0","2254","439","0","n/e","n/e","n/e","265","","42","0","n/e","2874","634","0","0","269","660","697"
"Belgium (BE)","01.01.2015 18:00 - 01.01.2015 19:00 (CET)","133","0","0","2261","436","0","n/e","n/e","n/e","517","","42","0","n/e","2875","653","0","0","270","663","801"
"Belgium (BE)","01.01.2015 19:00 - 01.01.2015 20:00 (CET)","144","0","0","2285","430","0","n/e","n/e","n/e","535","","41","0","n/e","2874","627","0","0","270","664","871"
"Belgium (BE)","01.01.2015 20:00 - 01.01.2015 21:00 (CET)","168","0","0","2257","433","0","n/e","n/e","n/e","362","","41","0","n/e","2874","571","0","0","268","664","879"
"Belgium (BE)","01.01.2015 21:00 - 01.01.2015 22:00 (CET)","192","0","0","2130","437","0","n/e","n/e","n/e","162","","42","0","n/e","2873","536","0","0","270","669","927"
"Belgium (BE)","01.01.2015 22:00 - 01.01.2015 23:00 (CET)","237","0","0","2107","439","0","n/e","n/e","n/e","157","","41","0","n/e","2873","545","0","0","267","669","958"
"Belgium (BE)","01.01.2015 23:00 - 02.01.2015 00:00 (CET)","169","0","0","2095","436","0","n/e","n/e","n/e","288","","41","0","n/e","2875","588","0","0","266","663","972"
"Belgium (BE)","02.01.2015 00:00 - 02.01.2015 01:00 (CET)","129","0","0","1840","370","0","n/e","n/e","n/e","73","0","41","0","n/e","2876","549","0","0","261","665","968"
"Belgium (BE)","02.01.2015 01:00 - 02.01.2015 02:00 (CET)","206","0","0","1722","243","0","n/e","n/e","n/e","","13","41","0","n/e","2873","528","0","0","260","656","986"
"Belgium (BE)","02.01.2015 02:00 - 02.01.2015 03:00 (CET)","206","0","0","1651","196","0","n/e","n/e","n/e","","372","41","0","n/e","2880","543","0","0","258","646","997"
"Belgium (BE)","02.01.2015 03:00 - 02.01.2015 04:00 (CET)","212","0","0","1634","144","0","n/e","n/e","n/e","","615","41","0","n/e","2955","539","0","0","259","633","991"
"Belgium (BE)","02.01.2015 04:00 - 02.01.2015 05:00 (CET)","213","0","0","1656","149","0","n/e","n/e","n/e","","995","42","0","n/e","3105","542","0","0","263","658","968"
"Belgium (BE)","02.01.2015 05:00 - 02.01.2015 06:00 (CET)","214","0","0","1680","190","0","n/e","n/e","n/e","","842","43","0","n/e","3203","540","0","0","267","656","925"
"Belgium (BE)","02.01.2015 06:00 - 02.01.2015 07:00 (CET)","227","0","0","1700","293","0","n/e","n/e","n/e","","91","42","0","n/e","3200","548","0","0","264","664","890"
"Belgium (BE)","02.01.2015 07:00 - 02.01.2015 08:00 (CET)","226","0","0","1859","370","0","n/e","n/e","n/e","","6","40","0","n/e","3199","571","0","0","264","662","847"
"Belgium (BE)","02.01.2015 08:00 - 02.01.2015 09:00 (CET)","225","0","0","2075","384","0","n/e","n/e","n/e","","5","38","0","n/e","3198","643","0","0","262","585","824"
"Belgium (BE)","02.01.2015 09:00 - 02.01.2015 10:00 (CET)","222","0","0","2079","388","0","n/e","n/e","n/e","129","","38","0","n/e","3250","673","0","7","263","500","742"
"Belgium (BE)","02.01.2015 10:00 - 02.01.2015 11:00 (CET)","223","0","0","2192","392","0","n/e","n/e","n/e","297","","39","0","n/e","3335","702","0","71","261","382","612"
"Belgium (BE)","02.01.2015 11:00 - 02.01.2015 12:00 (CET)","223","0","0","2095","388","0","n/e","n/e","n/e","182","","40","0","n/e","3412","739","0","169","265","637","511"
"Belgium (BE)","02.01.2015 12:00 - 02.01.2015 13:00 (CET)","223","0","0","2085","385","0","n/e","n/e","n/e","325","","41","0","n/e","3528","748","0","329","269","651","474"
"Belgium (BE)","02.01.2015 13:00 - 02.01.2015 14:00 (CET)","218","0","0","1969","386","0","n/e","n/e","n/e","142","","42","0","n/e","3569","672","0","555","267","660","528"
"Belgium (BE)","02.01.2015 14:00 - 02.01.2015 15:00 (CET)","223","0","0","1821","339","0","n/e","n/e","n/e","","42","42","0","n/e","3645","614","0","583","263","664","484"
"Belgium (BE)","02.01.2015 15:00 - 02.01.2015 16:00 (CET)","225","0","0","1979","294","0","n/e","n/e","n/e","","61","42","0","n/e","3709","584","0","347","263","668","456"
"Belgium (BE)","02.01.2015 16:00 - 02.01.2015 17:00 (CET)","221","0","0","2281","358","0","n/e","n/e","n/e","89","4","40","0","n/e","3719","600","0","56","264","667","458"
"Belgium (BE)","02.01.2015 17:00 - 02.01.2015 18:00 (CET)","219","0","0","2560","428","0","n/e","n/e","n/e","427","","39","0","n/e","3805","682","0","0","266","666","456"
"Belgium (BE)","02.01.2015 18:00 - 02.01.2015 19:00 (CET)","218","0","0","2640","437","0","n/e","n/e","n/e","633","","40","0","n/e","3864","711","0","0","265","658","469"
"Belgium (BE)","02.01.2015 19:00 - 02.01.2015 20:00 (CET)","223","0","0","2652","436","0","n/e","n/e","n/e","406","","40","0","n/e","3882","675","0","0","263","638","461"
"Belgium (BE)","02.01.2015 20:00 - 02.01.2015 21:00 (CET)","222","0","0","2486","432","0","n/e","n/e","n/e","84","0","41","0","n/e","3899","619","0","0","266","639","427"
"Belgium (BE)","02.01.2015 21:00 - 02.01.2015 22:00 (CET)","219","0","0","2352","433","0","n/e","n/e","n/e","","1","41","0","n/e","3900","589","0","0","265","618","407"
"Belgium (BE)","02.01.2015 22:00 - 02.01.2015 23:00 (CET)","233","0","0","2200","436","0","n/e","n/e","n/e","","26","41","0","n/e","3897","551","0","0","265","580","340"
"Belgium (BE)","02.01.2015 23:00 - 03.01.2015 00:00 (CET)","230","0","0","2163","435","0","n/e","n/e","n/e","","29","41","0","n/e","3900","607","0","0","265","502","279"
"Belgium (BE)","03.01.2015 00:00 - 03.01.2015 01:00 (CET)","215","0","0","2119","435","0","n/e","n/e","n/e","","8","42","0","n/e","3907","584","0","0","264","458","263"
"Belgium (BE)","03.01.2015 01:00 - 03.01.2015 02:00 (CET)","218","0","0","2070","437","0","n/e","n/e","n/e","","2","42","0","n/e","3908","559","0","0","266","380","191"
"Belgium (BE)","03.01.2015 02:00 - 03.01.2015 03:00 (CET)","225","0","0","2138","435","0","n/e","n/e","n/e","","6","42","0","n/e","3911","551","0","0","267","273","202"
"Belgium (BE)","03.01.2015 03:00 - 03.01.2015 04:00 (CET)","227","0","0","1971","436","0","n/e","n/e","n/e","","763","42","0","n/e","3911","539","0","0","267","335","262"
"Belgium (BE)","03.01.2015 04:00 - 03.01.2015 05:00 (CET)","223","0","0","1894","363","0","n/e","n/e","n/e","","915","42","0","n/e","3911","524","0","0","264","372","364"
"Belgium (BE)","03.01.2015 05:00 - 03.01.2015 06:00 (CET)","223","0","0","1863","431","0","n/e","n/e","n/e","","1018","41","0","n/e","3911","518","0","0","260","463","471"
"Belgium (BE)","03.01.2015 06:00 - 03.01.2015 07:00 (CET)","221","0","0","1867","435","0","n/e","n/e","n/e","","1002","41","0","n/e","3910","541","0","0","261","480","493"
"Belgium (BE)","03.01.2015 07:00 - 03.01.2015 08:00 (CET)","218","0","0","1934","436","0","n/e","n/e","n/e","","17","41","0","n/e","3908","569","0","0","268","401","369"
"Belgium (BE)","03.01.2015 08:00 - 03.01.2015 09:00 (CET)","217","0","0","2165","436","0","n/e","n/e","n/e","384","","42","0","n/e","3909","630","0","0","266","373","369"
"Belgium (BE)","03.01.2015 09:00 - 03.01.2015 10:00 (CET)","212","0","0","2219","434","0","n/e","n/e","n/e","296","","41","0","n/e","3910","654","0","4","268","469","298"
"Belgium (BE)","03.01.2015 10:00 - 03.01.2015 11:00 (CET)","208","0","0","2269","435","0","n/e","n/e","n/e","98","0","40","0","n/e","3909","724","0","16","271","378","229"
"Belgium (BE)","03.01.2015 11:00 - 03.01.2015 12:00 (CET)","213","0","0","2289","437","0","n/e","n/e","n/e","282","","40","0","n/e","3910","771","0","29","266","246","122"
"Belgium (BE)","03.01.2015 12:00 - 03.01.2015 13:00 (CET)","214","0","0","2313","436","0","n/e","n/e","n/e","212","","41","0","n/e","3910","778","0","55","266","315","120"
"Belgium (BE)","03.01.2015 13:00 - 03.01.2015 14:00 (CET)","218","0","0","2204","436","0","n/e","n/e","n/e","178","","42","0","n/e","3912","785","0","76","267","267","148"
"Belgium (BE)","03.01.2015 14:00 - 03.01.2015 15:00 (CET)","220","0","0","2218","435","0","n/e","n/e","n/e","275","","42","0","n/e","3912","791","0","73","269","152","140"
"Belgium (BE)","03.01.2015 15:00 - 03.01.2015 16:00 (CET)","222","0","0","2239","434","0","n/e","n/e","n/e","413","","40","0","n/e","3912","796","0","29","270","","226"
"Belgium (BE)","03.01.2015 16:00 - 03.01.2015 17:00 (CET)","224","0","0","2312","433","0","n/e","n/e","n/e","547","","40","0","n/e","3912","788","0","4","271","","394"
"Belgium (BE)","03.01.2015 17:00 - 03.01.2015 18:00 (CET)","225","0","0","2397","443","0","n/e","n/e","n/e","839","","40","0","n/e","3913","777","0","0","269","31","361"
"Belgium (BE)","03.01.2015 18:00 - 03.01.2015 19:00 (CET)","223","0","0","2400","442","0","n/e","n/e","n/e","499","","39","0","n/e","3911","769","0","0","273","245","203"
"Belgium (BE)","03.01.2015 19:00 - 03.01.2015 20:00 (CET)","225","0","0","2333","443","0","n/e","n/e","n/e","113","","40","0","n/e","3909","783","0","0","274","253","257"
