"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"01.01.2016 00:00 - 01.01.2016 00:15","9164","9054"
"01.01.2016 00:15 - 01.01.2016 00:30","8940","8921"
"01.01.2016 00:30 - 01.01.2016 00:45","8725","8721"
"01.01.2016 00:45 - 01.01.2016 01:00","8534","8602"
"01.01.2016 01:00 - 01.01.2016 01:15","9352","8560"
"01.01.2016 01:15 - 01.01.2016 01:30","9265","8398"
"01.01.2016 01:30 - 01.01.2016 01:45","9132","8291"
"01.01.2016 01:45 - 01.01.2016 02:00","9045","8142"
"01.01.2016 02:00 - 01.01.2016 02:15","8956","8074"
"01.01.2016 02:15 - 01.01.2016 02:30","8885","7962"
"01.01.2016 02:30 - 01.01.2016 02:45","8808","7847"
"01.01.2016 02:45 - 01.01.2016 03:00","8714","7755"
"01.01.2016 03:00 - 01.01.2016 03:15","8621","7704"
"01.01.2016 03:15 - 01.01.2016 03:30","8543","7623"
"01.01.2016 03:30 - 01.01.2016 03:45","8497","7571"
"01.01.2016 03:45 - 01.01.2016 04:00","8436","7558"
"01.01.2016 04:00 - 01.01.2016 04:15","8375","7533"
"01.01.2016 04:15 - 01.01.2016 04:30","8332","7482"
"01.01.2016 04:30 - 01.01.2016 04:45","8335","7452"
"01.01.2016 04:45 - 01.01.2016 05:00","8295","7439"
"01.01.2016 05:00 - 01.01.2016 05:15","8262","7479"
"01.01.2016 05:15 - 01.01.2016 05:30","8238","7480"
"01.01.2016 05:30 - 01.01.2016 05:45","8275","7523"
"01.01.2016 05:45 - 01.01.2016 06:00","8221","7529"
"01.01.2016 06:00 - 01.01.2016 06:15","8203","7579"
"01.01.2016 06:15 - 01.01.2016 06:30","8209","7597"
"01.01.2016 06:30 - 01.01.2016 06:45","8319","7617"
"01.01.2016 06:45 - 01.01.2016 07:00","8231","7595"
"01.01.2016 07:00 - 01.01.2016 07:15","8137","7497"
"01.01.2016 07:15 - 01.01.2016 07:30","8053","7501"
"01.01.2016 07:30 - 01.01.2016 07:45","8133","7494"
"01.01.2016 07:45 - 01.01.2016 08:00","8113","7532"
"01.01.2016 08:00 - 01.01.2016 08:15","8096","7574"
"01.01.2016 08:15 - 01.01.2016 08:30","8075","7637"
"01.01.2016 08:30 - 01.01.2016 08:45","8134","7551"
"01.01.2016 08:45 - 01.01.2016 09:00","8241","7565"
"01.01.2016 09:00 - 01.01.2016 09:15","8358","7667"
"01.01.2016 09:15 - 01.01.2016 09:30","8485","7739"
"01.01.2016 09:30 - 01.01.2016 09:45","8545","7822"
"01.01.2016 09:45 - 01.01.2016 10:00","8663","7861"
"01.01.2016 10:00 - 01.01.2016 10:15","8779","7955"
"01.01.2016 10:15 - 01.01.2016 10:30","8901","8047"
"01.01.2016 10:30 - 01.01.2016 10:45","8956","8093"
